experiment,round,poisoned,train_loss,test_rmse,test_mae,test_nasa_score,test_auroc,test_auprc,test_precision,test_recall,test_f1,test_tn,test_fp,test_fn,test_tp,near_failure_count,near_failure_rmse,near_failure_fault_recall,healthy_bias
poisoned_fedavg,15,True,1053.9596489363637,37.07005976599832,34.1290168762207,222640.0203098362,0.983860014266311,0.7874831322676892,1.0,0.04216867469879518,0.08092485549132948,9864,0,318,14,332,29.94934844970703,0.04216867469879518,27.39450454711914
poisoned_fedavg,16,True,824.7569727018761,32.00419017060989,29.4879207611084,152689.19947791623,0.9839433769139818,0.7787064546980695,0.0,0.0,0.0,9864,0,332,0,332,30.273488998413086,0.0,27.87541389465332
poisoned_fedavg,17,True,644.7946569159981,27.452520269378276,25.2944393157959,124464.57714604698,0.9840682682066466,0.7633092424766921,0.0,0.0,0.0,9864,0,332,0,332,30.792970657348633,0.0,28.351905822753906
poisoned_fedavg,18,True,516.8728750341135,23.63283057850548,21.484909057617188,124404.59444176489,0.9838810839464915,0.757620728451619,0.0,0.0,0.0,9864,0,332,0,332,30.123104095458984,0.0,27.607351303100586
poisoned_fedavg,19,True,438.37098091589377,21.113356773107295,18.606258392333984,147887.51548126002,0.9833097597201458,0.7541363143601288,0.0,0.0,0.0,9864,0,332,0,332,31.06389045715332,0.0,28.658451080322266
poisoned_fedavg,20,True,390.7081549218112,19.327336312981107,16.37289047241211,135801.9384310205,0.9868903839201086,0.7679734240522856,1.0,0.012048192771084338,0.023809523809523808,9864,0,328,4,332,26.00251579284668,0.012048192771084338,24.00770378112793
poisoned_fedavg,21,True,373.72948588846054,18.682772545589543,15.295660018920898,141880.63360935578,0.9875218636101584,0.7739235218826486,1.0,0.009036144578313253,0.01791044776119403,9864,0,329,3,332,25.27592658996582,0.009036144578313253,23.752878189086914
poisoned_fedavg,22,True,359.8834032421979,18.265848881219906,14.696845054626465,146664.255238748,0.9887097050000487,0.7868976532750758,1.0,0.012048192771084338,0.023809523809523808,9864,0,328,4,332,25.781734466552734,0.012048192771084338,24.26991081237793
poisoned_fedavg,23,True,348.0843727228048,17.94033674079299,14.455595016479492,133071.87404136403,0.9910401948426308,0.8011906951559141,1.0,0.024096385542168676,0.047058823529411764,9864,0,324,8,332,24.353239059448242,0.024096385542168676,23.091768264770508
poisoned_fedavg,24,True,328.71256176571035,17.439773247320872,13.866722106933594,121657.54952526433,0.9926341619519441,0.8098107292223076,1.0,0.03313253012048193,0.0641399416909621,9864,0,321,11,332,23.38144302368164,0.03313253012048193,22.407400131225586
